university_name,country,state,program,rank_tier,tuition_usd,living_cost_usd,cost_of_attendance_usd,min_cgpa,min_ielts,min_gre,accepts_without_gre,research_level,ms_cs,research_category,intake,deadline,data_note
University of Virginia,USA,Virginia,Mathematics,2,45400,20000,65400,3.6,7.0,318,Often,5,Yes,Mathematical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Colorado Boulder,USA,Colorado,Environmental Science,2,47200,20000,67200,3.6,7.0,318,Often,5,Yes,Environmental and Earth Sciences,"Fall, Spring, Summer",Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Stony Brook University,USA,New York,Psychology,2,49000,24000,73000,3.6,7.0,318,Often,5,Yes,Behavioral Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University at Buffalo, SUNY",USA,New York,Political Science,2,50800,24000,74800,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Arizona State University,USA,Arizona,Sociology,2,40000,17000,57000,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Arizona,USA,Arizona,Education,2,41800,17000,58800,3.6,7.0,318,Often,5,Yes,Education Research,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Northeastern University,USA,Massachusetts,Public Health,2,43600,24000,67600,3.6,7.0,318,Often,5,Yes,Health Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Boston University,USA,Massachusetts,Computer Science,2,45400,24000,69400,3.6,7.0,318,Often,5,Yes,Computing and Information Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Chicago,USA,Illinois,Biology,2,47200,20000,67200,3.6,7.0,318,Often,5,Yes,Life Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Vanderbilt University,USA,Tennessee,Business,2,49000,17000,66000,3.6,7.0,318,Often,5,Yes,Business and Management,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Washington University in St. Louis,USA,Missouri,Economics,2,50800,17000,67800,3.6,7.0,318,Often,5,Yes,Economics and Policy,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Utah,USA,Utah,Arts,2,40000,17000,57000,3.6,7.0,318,Often,5,Yes,Arts and Humanities,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Florida,USA,Florida,Engineering,2,41800,20000,61800,3.6,7.0,318,Often,5,Yes,Engineering and Technology,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Rochester,USA,New York,Physics,2,43600,24000,67600,3.6,7.0,318,Often,5,Yes,Physical Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Rensselaer Polytechnic Institute,USA,New York,Chemistry,2,45400,24000,69400,3.6,7.0,318,Often,5,Yes,Chemical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Notre Dame,USA,Indiana,Mathematics,2,47200,17000,64200,3.6,7.0,318,Often,5,Yes,Mathematical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Pittsburgh,USA,Pennsylvania,Environmental Science,2,49000,20000,69000,3.6,7.0,318,Often,5,Yes,Environmental and Earth Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of North Carolina at Chapel Hill,USA,North Carolina,Psychology,2,50800,17000,67800,3.6,7.0,318,Often,5,Yes,Behavioral Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Michigan State University,USA,Michigan,Political Science,2,40000,17000,57000,3.6,7.0,318,Often,5,Yes,Social Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Iowa State University,USA,Iowa,Sociology,2,41800,17000,58800,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Iowa,USA,Iowa,Education,2,43600,17000,60600,3.6,7.0,318,Often,5,Yes,Education Research,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Indiana University Bloomington,USA,Indiana,Public Health,2,45400,17000,62400,3.6,7.0,318,Often,5,Yes,Health Sciences,"Fall, Spring, Summer",January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Riverside",USA,California,Computer Science,3,36000,24000,60000,3.3,6.5,312,Often,4,Yes,Computing and Information Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Santa Cruz",USA,California,Biology,3,37500,24000,61500,3.3,6.5,312,Often,4,Yes,Life Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Delaware,USA,Delaware,Business,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Business and Management,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
George Mason University,USA,Virginia,Economics,3,40500,20000,60500,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
George Washington University,USA,District of Columbia,Arts,3,30000,24000,54000,3.3,6.5,312,Often,4,Yes,Arts and Humanities,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Connecticut,USA,Connecticut,Engineering,3,31500,20000,51500,3.3,6.5,312,Often,4,Yes,Engineering and Technology,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Colorado State University,USA,Colorado,Physics,3,33000,20000,53000,3.3,6.5,312,Often,4,Yes,Physical Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Oregon State University,USA,Oregon,Chemistry,3,34500,20000,54500,3.3,6.5,312,Often,4,Yes,Chemical Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Oregon,USA,Oregon,Mathematics,3,36000,20000,56000,3.3,6.5,312,Often,4,Yes,Mathematical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Washington State University,USA,Washington,Environmental Science,3,37500,24000,61500,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Kansas,USA,Kansas,Psychology,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Behavioral Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Kansas State University,USA,Kansas,Political Science,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Missouri-Columbia,USA,Missouri,Sociology,3,30000,17000,47000,3.3,6.5,312,Often,4,Yes,Social Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Nebraska-Lincoln,USA,Nebraska,Education,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Education Research,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of Tennessee, Knoxville",USA,Tennessee,Public Health,3,33000,17000,50000,3.3,6.5,312,Often,4,Yes,Health Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Kentucky,USA,Kentucky,Computer Science,3,34500,17000,51500,3.3,6.5,312,Often,4,Yes,Computing and Information Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Alabama,USA,Alabama,Biology,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Life Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Auburn University,USA,Alabama,Business,3,37500,17000,54500,3.3,6.5,312,Often,4,Yes,Business and Management,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Louisiana State University,USA,Louisiana,Economics,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Tulane University,USA,Louisiana,Arts,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Arts and Humanities,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Arkansas,USA,Arkansas,Engineering,3,30000,17000,47000,3.3,6.5,312,Often,4,Yes,Engineering and Technology,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Oklahoma,USA,Oklahoma,Physics,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Physical Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Oklahoma State University,USA,Oklahoma,Chemistry,3,33000,17000,50000,3.3,6.5,312,Often,4,Yes,Chemical Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of New Mexico,USA,New Mexico,Mathematics,3,34500,17000,51500,3.3,6.5,312,Often,4,Yes,Mathematical Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
New Mexico State University,USA,New Mexico,Environmental Science,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of Nevada, Reno",USA,Nevada,Psychology,3,37500,17000,54500,3.3,6.5,312,Often,4,Yes,Behavioral Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of Nevada, Las Vegas",USA,Nevada,Political Science,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Wyoming,USA,Wyoming,Sociology,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Montana State University,USA,Montana,Education,3,30000,17000,47000,3.3,6.5,312,Often,4,Yes,Education Research,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Montana,USA,Montana,Public Health,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Health Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Boise State University,USA,Idaho,Computer Science,3,33000,17000,50000,3.3,6.5,312,Often,4,Yes,Computing and Information Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Idaho,USA,Idaho,Biology,3,34500,17000,51500,3.3,6.5,312,Often,4,Yes,Life Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of South Dakota,USA,South Dakota,Business,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Business and Management,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
South Dakota State University,USA,South Dakota,Economics,3,37500,17000,54500,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
North Dakota State University,USA,North Dakota,Arts,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Arts and Humanities,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of North Dakota,USA,North Dakota,Engineering,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Engineering and Technology,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"Binghamton University, SUNY",USA,New York,Physics,3,30000,24000,54000,3.3,6.5,312,Often,4,Yes,Physical Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University at Albany, SUNY",USA,New York,Chemistry,3,31500,24000,55500,3.3,6.5,312,Often,4,Yes,Chemical Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Rochester Institute of Technology,USA,New York,Mathematics,3,33000,24000,57000,3.3,6.5,312,Often,4,Yes,Mathematical Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Syracuse University,USA,New York,Environmental Science,3,34500,24000,58500,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Tufts University,USA,Massachusetts,Psychology,3,36000,24000,60000,3.3,6.5,312,Often,4,Yes,Behavioral Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Massachusetts Lowell,USA,Massachusetts,Political Science,3,37500,24000,61500,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Worcester Polytechnic Institute,USA,Massachusetts,Sociology,3,39000,24000,63000,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Clarkson University,USA,New York,Education,3,40500,24000,64500,3.3,6.5,312,Often,4,Yes,Education Research,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Stevens Institute of Technology,USA,New Jersey,Public Health,3,30000,24000,54000,3.3,6.5,312,Often,4,Yes,Health Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
New Jersey Institute of Technology,USA,New Jersey,Computer Science,3,31500,24000,55500,3.3,6.5,312,Often,4,Yes,Computing and Information Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Temple University,USA,Pennsylvania,Biology,3,33000,20000,53000,3.3,6.5,312,Often,4,Yes,Life Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Drexel University,USA,Pennsylvania,Business,3,34500,20000,54500,3.3,6.5,312,Often,4,Yes,Business and Management,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Lehigh University,USA,Pennsylvania,Economics,3,36000,20000,56000,3.3,6.5,312,Often,4,Yes,Economics and Policy,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Case Western Reserve University,USA,Ohio,Arts,3,37500,17000,54500,3.3,6.5,312,Often,4,Yes,Arts and Humanities,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Cincinnati,USA,Ohio,Engineering,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Engineering and Technology,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Miami University,USA,Ohio,Physics,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Physical Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Kent State University,USA,Ohio,Chemistry,3,30000,17000,47000,3.3,6.5,312,Often,4,Yes,Chemical Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Toledo,USA,Ohio,Mathematics,3,31500,17000,48500,3.3,6.5,312,Often,4,Yes,Mathematical Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Bowling Green State University,USA,Ohio,Environmental Science,3,33000,17000,50000,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Old Dominion University,USA,Virginia,Psychology,3,34500,20000,54500,3.3,6.5,312,Often,4,Yes,Behavioral Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Clemson University,USA,South Carolina,Political Science,3,36000,17000,53000,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of South Carolina,USA,South Carolina,Sociology,3,37500,17000,54500,3.3,6.5,312,Often,4,Yes,Social Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Wake Forest University,USA,North Carolina,Education,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Education Research,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of North Carolina at Charlotte,USA,North Carolina,Public Health,3,40500,17000,57500,3.3,6.5,312,Often,4,Yes,Health Sciences,"Fall, Spring, Summer",Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
East Carolina University,USA,North Carolina,Computer Science,4,25600,17000,42600,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Mississippi,USA,Mississippi,Biology,4,26800,17000,43800,3.0,6.5,305,Often,3,Yes,Life Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Mississippi State University,USA,Mississippi,Business,4,28000,17000,45000,3.0,6.5,305,Often,3,Yes,Business and Management,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Louisiana at Lafayette,USA,Louisiana,Economics,4,29200,17000,46200,3.0,6.5,305,Often,3,Yes,Economics and Policy,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of New Orleans,USA,Louisiana,Arts,4,30400,17000,47400,3.0,6.5,305,Often,3,Yes,Arts and Humanities,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Louisiana Tech University,USA,Louisiana,Engineering,4,31600,17000,48600,3.0,6.5,305,Often,3,Yes,Engineering and Technology,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Tulsa,USA,Oklahoma,Physics,4,22000,17000,39000,3.0,6.5,305,Often,3,Yes,Physical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Memphis,USA,Tennessee,Chemistry,4,23200,17000,40200,3.0,6.5,305,Often,3,Yes,Chemical Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Georgia State University,USA,Georgia,Mathematics,4,24400,17000,41400,3.0,6.5,305,Often,3,Yes,Mathematical Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Central Florida,USA,Florida,Environmental Science,3,31500,20000,51500,3.3,6.5,312,Often,4,Yes,Environmental and Earth Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of South Florida,USA,Florida,Psychology,3,33000,20000,53000,3.3,6.5,312,Often,4,Yes,Behavioral Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Florida International University,USA,Florida,Political Science,4,28000,20000,48000,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Florida Atlantic University,USA,Florida,Sociology,4,29200,20000,49200,3.0,6.5,305,Often,3,Yes,Social Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of North Texas,USA,Texas,Education,4,30400,17000,47400,3.0,6.5,305,Often,3,Yes,Education Research,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Texas at Dallas,USA,Texas,Public Health,3,39000,17000,56000,3.3,6.5,312,Often,4,Yes,Health Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Texas at Arlington,USA,Texas,Computer Science,4,22000,17000,39000,3.0,6.5,305,Often,3,Yes,Computing and Information Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Texas Tech University,USA,Texas,Biology,3,30000,17000,47000,3.3,6.5,312,Often,4,Yes,Life Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
